shooter_id,gk_id,game_id,gametime,penalty,freekick,shooter_x,shooter_y,gk,gk_x,gk_y,shot_dist_goal,angle_to_goal,defender_infront,defender_around,goal,gk_name,gk_position_type,shooter_name,shooter_position_type
1991,13871,3840,49.93,FALSE,FALSE,33.345,-4.59,home_16,46.565,-2.018,19.697261865548725,20.52179562514673,1,1,FALSE,Devis Epassy,GK,Aleksandar Mitrovic,F
1991,13871,3840,52.42,FALSE,FALSE,46.508,1.236,home_16,49.09,-4.616,6.118150047195637,61.277167416685174,0,2,TRUE,Devis Epassy,GK,Aleksandar Mitrovic,F
1991,13871,3840,75.87,FALSE,FALSE,43.605,-14.903,home_16,46.848,-9.029,17.355703212488972,12.746835478778008,1,0,FALSE,Devis Epassy,GK,Aleksandar Mitrovic,F
1991,13871,3840,88.07,FALSE,FALSE,38.813,2.047,home_16,49.984,-0.629,13.839226062175586,29.35568022354034,1,2,FALSE,Devis Epassy,GK,Aleksandar Mitrovic,F
1991,13871,3840,90.55,FALSE,FALSE,42.195,-3.356,home_16,42.813,-2.387,10.837700909325742,35.93813570361637,0,2,FALSE,Devis Epassy,GK,Aleksandar Mitrovic,F
2066,4691,10509,93.75,FALSE,FALSE,-43.264,0.461,away_1,-51.787,0.501,9.247497877804566,43.15003941119401,2,6,FALSE,Yann Sommer,GK,Ruben Dias,D
2073,61,3834,67.22,FALSE,FALSE,-45.736,3.894,home_1,-51.472,1.294,7.804801855268335,46.1767574813659,2,5,FALSE,Hugo Lloris,GK,Joachim Andersen,D
2073,61,3834,88.27,FALSE,FALSE,-29.549,12.099,home_1,-50.582,1.157,25.944829966681226,14.28663017582148,2,1,FALSE,Hugo Lloris,GK,Joachim Andersen,D
2073,435,3848,68.63,FALSE,FALSE,-46.949,11.749,home_1,-51.006,2.625,12.994329609487364,14.648242127477577,1,2,FALSE,Mathew Ryan,GK,Joachim Andersen,D
2073,14013,3817,20.17,FALSE,FALSE,41.386,3.411,away_16,51.656,1.871,11.62565770182487,33.74897107941829,4,2,FALSE,Aymen Dahmen,GK,Joachim Andersen,D
2073,14013,3817,22.13,FALSE,FALSE,34.218,8.913,away_16,50.463,1.583,20.338955061654467,18.486258978843257,4,1,FALSE,Aymen Dahmen,GK,Joachim Andersen,D
2074,1763,3827,45.55,FALSE,FALSE,40.289,-6.669,away_23,42.899,-3.54,13.913449680075749,26.384226965263025,0,2,FALSE,Marko Dmitrovic,GK,Raphinha,M
2074,4691,3842,30.28,FALSE,FALSE,25.554,-4.698,away_1,50.745,-0.926,27.352479229495817,15.026602931802499,2,1,FALSE,Yann Sommer,GK,Raphinha,M
2074,12653,3827,34.1,FALSE,FALSE,39.566,-8.271,away_23,49.175,-2.366,15.35245247509335,23.06880021847299,1,1,FALSE,Vanja Milinković-Savić,GK,Raphinha,M
2074,13907,10507,30.28,FALSE,FALSE,29.748,9.377,away_1,51.012,0.705,24.60856828423791,15.70794907276224,3,0,FALSE,Seun-gyu Kim,GK,Raphinha,M
2074,13907,10507,45.32,FALSE,FALSE,39.861,-10.885,away_1,49.753,-2.522,16.68015425588145,19.25656068305612,1,2,FALSE,Seun-gyu Kim,GK,Raphinha,M
2074,13907,10507,53.83,FALSE,FALSE,43.718,-10.227,away_1,50.831,-2.864,13.480172587915925,20.902760122244086,2,4,FALSE,Seun-gyu Kim,GK,Raphinha,M
2074,13907,10507,57,FALSE,TRUE,26.129,4.796,away_1,52.062,-0.552,26.803567990101616,15.312080702633846,4,0,FALSE,Seun-gyu Kim,GK,Raphinha,M
2074,13907,10507,61.62,FALSE,FALSE,48.248,-10.095,away_1,50.892,-3.931,10.953927560468895,16.27755909310537,1,1,FALSE,Seun-gyu Kim,GK,Raphinha,M
