frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_14,away_x_18,away_x_22,away_x_4,away_x_5,away_x_7,away_x_8,away_x_9,away_y_1,away_y_10,away_y_11,away_y_14,away_y_18,away_y_22,away_y_4,away_y_5,away_y_7,away_y_8,away_y_9,gk_away,home_x_1,home_x_10,home_x_11,home_x_17,home_x_19,home_x_2,home_x_20,home_x_22,home_x_3,home_x_4,home_x_5,home_x_6,home_x_7,home_x_8,home_x_9,home_y_1,home_y_10,home_y_11,home_y_17,home_y_19,home_y_2,home_y_20,home_y_22,home_y_3,home_y_4,home_y_5,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
97832,10513,93943,47.21,2,6668239,SH,OTB,118,Harry Maguire,6,1,LCB,-50.29,-4.32,51.283,39.105,38.886,48.189,47.319,35.72,48.835,49.258,44.5,51.173,48.896,1.984,-9.668,10.437,7.382,6.703,1.637,-4.873,2.991,-12.156,-5.078,-2.538,1,-25,NA,NA,37.087,NA,16.29,48.432,46.878,29.443,47.785,47.725,48.842,NA,49.209,45.076,-0.138,NA,NA,9.778,NA,-2.56,-26.548,3.242,-12.97,0.734,-6.349,7.323,NA,-8.919,-13.757,1,FALSE,no_data,2,47.2,OTB,TRUE,NA,NA,118,Harry Maguire,NA,NA,S,FALSE,FALSE,C,FALSE
97832,10513,93944,47.21,2,6668239,SH,OTB,118,Harry Maguire,6,1,LCB,-50.29,-4.32,51.283,39.105,38.886,48.189,47.319,35.72,48.835,49.258,44.5,51.173,48.896,1.984,-9.668,10.437,7.382,6.703,1.637,-4.873,2.991,-12.156,-5.078,-2.538,1,-25,NA,NA,37.087,NA,16.29,48.432,46.878,29.443,47.785,47.725,48.842,NA,49.209,45.076,-0.138,NA,NA,9.778,NA,-2.56,-26.548,3.242,-12.97,0.734,-6.349,7.323,NA,-8.919,-13.757,1,FALSE,no_data,2,47.2,OTB,TRUE,NA,NA,118,Harry Maguire,NA,NA,S,FALSE,FALSE,C,FALSE
97832,10513,93945,47.21,2,6668239,SH,OTB,118,Harry Maguire,6,1,LCB,-50.29,-4.32,51.283,39.105,38.886,48.189,47.319,35.72,48.835,49.258,44.5,51.173,48.896,1.984,-9.668,10.437,7.382,6.703,1.637,-4.873,2.991,-12.156,-5.078,-2.538,1,-25,NA,NA,37.087,NA,16.29,48.432,46.878,29.443,47.785,47.725,48.842,NA,49.209,45.076,-0.138,NA,NA,9.778,NA,-2.56,-26.548,3.242,-12.97,0.734,-6.349,7.323,NA,-8.919,-13.757,1,FALSE,no_data,2,47.2,OTB,TRUE,NA,NA,118,Harry Maguire,NA,NA,S,FALSE,FALSE,C,FALSE
97832,10513,93946,47.21,2,6668239,SH,OTB,118,Harry Maguire,6,1,LCB,-50.29,-4.32,51.283,39.105,38.886,48.189,47.319,35.72,48.835,49.258,44.5,51.173,48.896,1.984,-9.668,10.437,7.382,6.703,1.637,-4.873,2.991,-12.156,-5.078,-2.538,1,-25,NA,NA,37.087,NA,16.29,48.432,46.878,29.443,47.785,47.725,48.842,NA,49.209,45.076,-0.138,NA,NA,9.778,NA,-2.56,-26.548,3.242,-12.97,0.734,-6.349,7.323,NA,-8.919,-13.757,1,FALSE,no_data,2,47.2,OTB,TRUE,NA,NA,118,Harry Maguire,NA,NA,S,FALSE,FALSE,C,FALSE
97832,10513,93947,47.21,2,6668239,SH,OTB,118,Harry Maguire,6,1,LCB,-50.29,-4.32,51.283,39.105,38.886,48.189,47.319,35.72,48.835,49.258,44.5,51.173,48.896,1.984,-9.668,10.437,7.382,6.703,1.637,-4.873,2.991,-12.156,-5.078,-2.538,1,-25,NA,NA,37.087,NA,16.29,48.432,46.878,29.443,47.785,47.725,48.842,NA,49.209,45.076,-0.138,NA,NA,9.778,NA,-2.56,-26.548,3.242,-12.97,0.734,-6.349,7.323,NA,-8.919,-13.757,1,FALSE,no_data,2,47.2,OTB,TRUE,NA,NA,118,Harry Maguire,NA,NA,S,FALSE,FALSE,C,FALSE
97832,10513,93948,47.21,2,6668239,SH,OTB,118,Harry Maguire,6,1,LCB,-50.29,-4.32,51.283,39.105,38.886,48.189,47.319,35.72,48.835,49.258,44.5,51.173,48.896,1.984,-9.668,10.437,7.382,6.703,1.637,-4.873,2.991,-12.156,-5.078,-2.538,1,-25,NA,NA,37.087,NA,16.29,48.432,46.878,29.443,47.785,47.725,48.842,NA,49.209,45.076,-0.138,NA,NA,9.778,NA,-2.56,-26.548,3.242,-12.97,0.734,-6.349,7.323,NA,-8.919,-13.757,1,FALSE,no_data,2,47.2,OTB,TRUE,NA,NA,118,Harry Maguire,NA,NA,S,FALSE,FALSE,C,FALSE
104663,10513,100824,51.01,2,6668663,SH,OTB,47,Jordan Henderson,8,1,CM,-37.4,14.07,50.911,37.369,26.232,45.185,45.117,34.225,47.198,49.679,41.738,47.603,12.884,-2.622,-14.218,8.646,-8.041,-4.172,-17.722,-4.932,2.634,-2.652,0.816,-2.015,1,-25,NA,NA,49.56,NA,18.656,34.962,37.155,39.945,23.546,10.259,7.745,NA,44.626,41.366,-1.128,NA,NA,-15.574,NA,-15.77,-14.836,-1.145,10.095,-7.918,-5.1,7.8,NA,-7.231,-2.992,1,FALSE,no_data,2,51,OTB,TRUE,NA,NA,47,Jordan Henderson,NA,NA,V,FALSE,FALSE,B,FALSE
109053,10513,105229,53.45,2,6668740,SH,OTB,1,Harry Kane,9,1,CF,-44.4,0.7,51.954,39.296,33.101,34.082,41.489,36.453,35.61,34.147,34.047,33.829,20.062,-0.877,-9.39,4.367,-3.325,-2.335,-7.392,9.698,7.452,-7.953,-4.585,-1.872,1,-26.891,NA,NA,38.751,NA,33.691,34.846,35.461,20.244,38.164,27.856,27.856,NA,38.164,44.222,-1.192,NA,NA,-7.134,NA,-6.211,12.051,0.509,5.166,-0.297,-1.488,-1.488,NA,-0.297,-0.928,1,TRUE,goal_detected,2,53.43,OTB,TRUE,NA,NA,1,Harry Kane,61,Hugo Lloris,S,TRUE,FALSE,G,TRUE
111355,10513,107531,54.73,2,6668794,SH,OTB,8054,Adrien Rabiot,14,0,CM,32.63,-1.3,36.091,-19.896,-11.531,-29.341,8.615,6.141,8.211,3.497,-22.335,-0.434,-20.663,3.902,-19.641,22.639,2.127,1.294,-12.468,19.129,28.894,20.415,12.561,21.533,1,-46.607,NA,NA,-0.735,NA,-29.572,0.5,-9.524,-16.404,-20.566,-31.031,-29.881,NA,-6.72,7.779,0.802,NA,NA,-2.008,NA,-1.536,31.662,21.248,24.995,16.491,5.283,17.61,NA,7.089,20.085,1,FALSE,no_data,2,54.72,OTB,FALSE,NA,NA,8054,Adrien Rabiot,169,Jordan Pickford,V,FALSE,FALSE,S,FALSE
120087,10513,116353,59.59,2,6669259,SH,OTB,163,Bukayo Saka,17,1,RW,-41.14,7.72,50.061,8.436,25.651,32.416,37.098,35.949,39.794,39.239,11.434,37.582,6.033,-1.876,-10.738,13.491,-8.904,-9.029,-12.186,-5.655,-0.966,2.539,-7.076,4.854,1,-28.178,NA,NA,36.976,NA,2.681,38.568,27.484,30.657,16.696,-0.024,-0.261,NA,23.504,29.997,-0.579,NA,NA,-7.302,NA,-12.024,-1.51,6.789,17.279,-6.84,-4.407,11.639,NA,-22.369,-9.793,1,FALSE,no_data,2,59.52,OTB,TRUE,NA,NA,163,Bukayo Saka,61,Hugo Lloris,S,FALSE,FALSE,S,FALSE
