frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_12,away_x_13,away_x_14,away_x_18,away_x_20,away_x_22,away_x_24,away_x_25,away_x_26,away_x_3,away_x_4,away_x_5,away_x_7,away_x_8,away_x_9,away_y_1,away_y_10,away_y_11,away_y_12,away_y_13,away_y_14,away_y_18,away_y_20,away_y_22,away_y_24,away_y_25,away_y_26,away_y_3,away_y_4,away_y_5,away_y_7,away_y_8,away_y_9,gk_away,home_x_10,home_x_11,home_x_13,home_x_19,home_x_20,home_x_21,home_x_22,home_x_23,home_x_24,home_x_26,home_x_3,home_x_4,home_x_5,home_x_6,home_x_7,home_x_8,home_x_9,home_y_10,home_y_11,home_y_13,home_y_19,home_y_20,home_y_21,home_y_22,home_y_23,home_y_24,home_y_26,home_y_3,home_y_4,home_y_5,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
52962,10517,48549,26.88,1,6738752,SH,OTB,3870,Kylian Mbappé,10,0,LW,-41.1,8.76,25,-41.604,-33.918,NA,NA,-33.618,-28.88,NA,-28.563,NA,NA,NA,NA,-41.566,-15.752,-22.279,-38.487,-41.496,0.83,13.953,21.689,NA,NA,-2.744,-6.465,NA,-3.578,NA,NA,NA,NA,3.897,7.006,1.799,-10.26,-5.255,1,-26.68,-42.001,-41.782,-42.715,-36.864,NA,NA,-50.235,-35.278,-31.559,-41.437,NA,NA,NA,-32.925,NA,-40.306,-4.701,11.963,-1.726,1.234,1.73,NA,NA,1.983,-4.12,-11.46,11.766,NA,NA,NA,-4.224,NA,6.187,23,FALSE,no_data,1,26.87,OTB,FALSE,NA,NA,3870,Kylian Mbappé,NA,NA,V,FALSE,FALSE,B,FALSE
61379,10517,57026,31.56,1,6737926,SH,OTB,453,Alexis MacAllister,20,1,CM,30.2,14.75,50.213,19.941,28.309,NA,NA,32.013,37.766,NA,36.21,NA,NA,NA,NA,34.149,36.331,36.222,31.488,20.189,1.479,-3.703,26.397,NA,NA,1.183,1.47,NA,-2.4,NA,NA,NA,NA,15.746,25.413,16.527,14.954,20.393,1,33.899,33.662,7.32,7.825,33.14,NA,NA,-27.28,15.587,14.321,31.988,NA,NA,NA,22.378,NA,36.191,0.435,31.235,14.517,22.511,16.406,NA,NA,3.573,29.181,-9.005,28.14,NA,NA,NA,2.382,NA,20.642,23,FALSE,no_data,1,31.55,OTB,TRUE,NA,NA,453,Alexis Mac Allister,NA,NA,V,FALSE,FALSE,O,FALSE
68200,10517,63850,35.35,1,6738550,SH,OTB,3868,Angel Di Maria,11,1,LW,46.85,4.82,47.459,1.534,7.103,NA,NA,22.567,40.874,NA,28.572,NA,NA,NA,NA,35.75,44.757,12.879,44.065,-6.543,3.641,-19.936,8.72,NA,NA,-17.15,-8.023,NA,-17.57,NA,NA,NA,NA,-7.391,-10.938,-13.116,2.276,-0.836,1,26.431,45.317,-4.378,-3.039,42.528,NA,NA,-34.601,7.096,-1.131,1.288,NA,NA,NA,12.807,NA,27.938,-10.909,8.385,-9.239,0.061,-12.639,NA,NA,-0.824,-4.624,-20.199,6.183,NA,NA,NA,-11.72,NA,-8.409,23,TRUE,goal_detected,1,35.35,OTB,TRUE,NA,NA,3868,Ángel Di María,61,Hugo Lloris,F,FALSE,FALSE,G,TRUE
107107,10517,101730,48.82,2,6738356,SH,OTB,6895,Rodrigo de Paul,7,1,CM,-40.03,9.48,50.557,9.362,NA,11.434,NA,39.775,45.941,NA,39.932,NA,NA,8.022,NA,42.781,43.166,13.308,40.567,NA,-0.612,-5.096,NA,23.092,NA,0.976,0.134,NA,-8.638,NA,NA,-13.634,NA,11.871,8.429,-3.674,-0.194,NA,1,43.489,41.96,6.541,-1.166,13.218,NA,NA,-32.716,27.489,4.077,3.53,NA,NA,NA,37.307,NA,45.558,3.295,21.057,-1.076,10.625,5.839,NA,NA,1.163,13.441,-10.73,21.327,NA,NA,NA,-10.812,NA,3.575,23,FALSE,no_data,2,48.82,OTB,TRUE,NA,NA,6895,Rodrigo de Paul,61,Hugo Lloris,V,FALSE,FALSE,S,FALSE
124232,10517,118930,58.34,2,6739261,SH,OTB,10715,Julian Alvarez,9,1,CF,-46.22,-12.24,51.089,4.356,NA,20.176,NA,32.089,43.925,NA,35.19,NA,NA,19.371,NA,40.939,34.835,18.066,34.508,NA,3.526,-9.668,NA,13.058,NA,-0.44,12.172,NA,-9.121,NA,NA,-15.727,NA,4.581,9.808,8.385,5.429,NA,1,21.511,34.003,-2.12,-1.437,19.414,NA,NA,-29.897,14.777,8.561,15.303,NA,NA,NA,22.501,NA,44.291,-17.37,3.266,-4.429,9.004,10.31,NA,NA,1.059,-0.128,-16.544,25.282,NA,NA,NA,-8.181,NA,13.858,23,FALSE,no_data,2,58.3,OTB,TRUE,NA,NA,10715,Julian Alvarez,61,Hugo Lloris,F,FALSE,FALSE,F,FALSE
NA,10517,NA,NA,NA,6739374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,59.82,OTB,TRUE,NA,NA,1531,Lionel Messi,NA,NA,S,FALSE,FALSE,B,FALSE
140228,10517,134982,67.24,2,6738774,SH,OTB,4194,Randal Kolo Muani,12,0,CF,50.07,14.99,25,-44.88,NA,-47.522,NA,-42.45,-45.555,NA,-32.484,NA,NA,-46.528,NA,-44.435,-30.372,-50.52,-43.298,NA,-0.551,8.243,NA,-6.219,NA,-1.814,0.189,NA,-7.47,NA,NA,-1.322,NA,7.497,9.199,-33.555,2.681,NA,1,-36.838,NA,-46.118,-43.336,-46.491,NA,NA,-51.434,-46.521,-48.011,-42.755,NA,NA,NA,-45.174,-46.436,-48.859,-5.127,NA,-1.97,4.783,-0.597,NA,NA,-1.756,-8.517,-5.765,-0.903,NA,NA,NA,4.058,7.247,-6.757,23,FALSE,no_data,2,67.23,OTB,FALSE,NA,NA,4194,Randal Kolo Muani,NA,NA,S,FALSE,FALSE,O,FALSE
140228,10517,134983,67.24,2,6738774,SH,OTB,4194,Randal Kolo Muani,12,0,CF,50.07,14.99,25,-44.88,NA,-47.522,NA,-42.45,-45.555,NA,-32.484,NA,NA,-46.528,NA,-44.435,-30.372,-50.52,-43.298,NA,-0.551,8.243,NA,-6.219,NA,-1.814,0.189,NA,-7.47,NA,NA,-1.322,NA,7.497,9.199,-33.555,2.681,NA,1,-36.838,NA,-46.118,-43.336,-46.491,NA,NA,-51.434,-46.521,-48.011,-42.755,NA,NA,NA,-45.174,-46.436,-48.859,-5.127,NA,-1.97,4.783,-0.597,NA,NA,-1.756,-8.517,-5.765,-0.903,NA,NA,NA,4.058,7.247,-6.757,23,FALSE,no_data,2,67.23,OTB,FALSE,NA,NA,4194,Randal Kolo Muani,NA,NA,S,FALSE,FALSE,O,FALSE
140228,10517,134984,67.24,2,6738774,SH,OTB,4194,Randal Kolo Muani,12,0,CF,50.07,14.99,25,-44.88,NA,-47.522,NA,-42.45,-45.555,NA,-32.484,NA,NA,-46.528,NA,-44.435,-30.372,-50.52,-43.298,NA,-0.551,8.243,NA,-6.219,NA,-1.814,0.189,NA,-7.47,NA,NA,-1.322,NA,7.497,9.199,-33.555,2.681,NA,1,-36.838,NA,-46.118,-43.336,-46.491,NA,NA,-51.434,-46.521,-48.011,-42.755,NA,NA,NA,-45.174,-46.436,-48.859,-5.127,NA,-1.97,4.783,-0.597,NA,NA,-1.756,-8.517,-5.765,-0.903,NA,NA,NA,4.058,7.247,-6.757,23,FALSE,no_data,2,67.23,OTB,FALSE,NA,NA,4194,Randal Kolo Muani,NA,NA,S,FALSE,FALSE,O,FALSE
140228,10517,134985,67.24,2,6738774,SH,OTB,4194,Randal Kolo Muani,12,0,CF,50.07,14.99,25,-44.88,NA,-47.522,NA,-42.45,-45.555,NA,-32.484,NA,NA,-46.528,NA,-44.435,-30.372,-50.52,-43.298,NA,-0.551,8.243,NA,-6.219,NA,-1.814,0.189,NA,-7.47,NA,NA,-1.322,NA,7.497,9.199,-33.555,2.681,NA,1,-36.838,NA,-46.118,-43.336,-46.491,NA,NA,-51.434,-46.521,-48.011,-42.755,NA,NA,NA,-45.174,-46.436,-48.859,-5.127,NA,-1.97,4.783,-0.597,NA,NA,-1.756,-8.517,-5.765,-0.903,NA,NA,NA,4.058,7.247,-6.757,23,FALSE,no_data,2,67.23,OTB,FALSE,NA,NA,4194,Randal Kolo Muani,NA,NA,S,FALSE,FALSE,O,FALSE
