shooter,goals_scored,GAX,rGAX,tstat,sd.V1,ci_lower,ci_upper,shooter_name,shooter_position_type
4851,0,-0.20334257185459137,0.005430434800327536,0.04885596541851489,0.10132637448601317,-0.19316925919225827,0.20403012879291335,Krzysztof Piatek,F
4883,3,1.5097604393959045,0.7030342351473923,2.331832232687316,0.30075930054111677,0.11354600608680343,1.2925224642079811,Andrej Kramaric,F
4892,1,0.7373264320194721,0.22050159117032023,1.322072900069413,0.1664772665618683,-0.10579385129094163,0.546797033631582,Josko Gvardiol,D
4908,1,-0.1939140073955059,0.1344687700815412,0.4232692081592117,0.3062967586916099,-0.46587287695401414,0.7348104171170966,Dani Olmo,F
4915,1,0.7896628100425005,0.20890845639392774,0.9706678736291618,0.21558448023821133,-0.2136371248729665,0.631454037660822,Hee-chan Hwang,F
4926,0,-0.08987581729888916,-0.007626648953766669,-0.0552631620774638,0.1440746556050513,-0.29001297393966724,0.27475967603213386,Borna Sosa,D
4928,0,-0.33906272798776627,9.294465665154889e-4,-1.215419026720079e-4,0.22044890860298827,-0.4311504142953415,0.4330093074283725,Wataru Endo,M
5009,2,1.7150184959173203,0.5378791926864451,3.842181886126747,0.1399834043672499,0.2635117201266353,0.812246665246255,Wout Weghorst,F
5029,0,-0.07925117760896683,-0.03178896270471158,-0.3072611205840959,0.10463493240976333,-0.2368734302278477,0.17329550481842457,Silvan Widmer,D
5035,0,-0.04571741446852684,0.005331258865583275,0.048489046583337754,0.10579908597051345,-0.20203494963662308,0.21269746736778963,Edimilson Fernandes,M
5038,0,-0.028214260935783386,-0.07958990518266565,-0.8045092185024054,0.09941822168645884,-0.274449619688125,0.11526980932279365,Jae-sung Lee,F
5063,0,-0.03949837014079094,0.010839620289745524,0.10588623336253405,0.10103960690655049,-0.18719800924709343,0.20887724982658448,Mathias Jensen,M
5070,0,-0.5437763631343842,-0.12939224110481234,-1.0099727192103198,0.12834634646252907,-0.3809510801713693,0.12216659796174462,Saman Ghoddos,F
5074,0,-0.20209065079689026,-0.03896538673721342,-0.2601113795959089,0.1517590330677727,-0.33641309155004784,0.25848231807562105,Bryan Mbeumo,F
5097,0,-0.3374323844909668,0.003417639841899746,0.012893454454531921,0.15052372463024788,-0.2916088604333861,0.29844414011718556,Ibrahima Konaté,D
5098,0,-0.33075227588415146,-0.049200253981481465,-0.32135249641061386,0.15538276038646098,-0.353750464338945,0.25534995637598207,Ko Itakura,D
5135,0,-0.46736982464790344,-0.209997603133031,-1.033015528916104,0.20364271246598073,-0.6091373195663532,0.18914211330029124,Josh Sargent,F
5139,0,-1.1351753622293472,-0.43875515627551037,-1.9989867888360444,0.21961351111627536,-0.8691976380634101,-0.008312674487610694,Romelu Lukaku,F
5178,1,0.6011939011514187,0.22330949046863172,1.2068377727339508,0.18483368498091973,-0.13896453209397094,0.5855835130312343,Osman Bukari,F
5968,1,0.6839781142771244,0.35522498476316483,1.7936706630785555,0.19753810893387497,-0.03194970874723008,0.7423996782735598,Lovro Majer,M
6019,0,-0.31981146708130836,-0.013363117200176342,-0.06658637380989209,0.21384589432507756,-0.43250107007732835,0.40577483567697564,Nikola Vlasic,M
6020,1,-1.3949205167591572,-0.29012157441295033,-0.8797830112758986,0.3330519182947005,-0.9429033342705633,0.36266018544466266,Cristiano Ronaldo,F
6596,0,-0.20046968758106232,-0.04788785962158935,-0.3559030695422365,0.13513997911361816,-0.31276221868428095,0.21698649944110224,Jeremy Sarmiento,F
6655,0,-0.1192115992307663,0.003239115020786102,0.025583799584418563,0.12955272324976289,-0.2506842225487491,0.25716245259032133,Nicolas N'Koulou,D
6895,0,-0.6598320156335831,-0.06132245504220212,-0.2611182299816429,0.24535069554888145,-0.5422098183180097,0.4195649082336055,Rodrigo de Paul,M
6916,0,-0.1547614447772503,0.04379133534328545,0.21265030429864848,0.2005507217120507,-0.34928807921233396,0.43687074989890484,Junior Hoilett,F
6935,0,-0.126419048756361,-0.0011350025875535407,-0.011392124174422901,0.13852858674943247,-0.2726510326164412,0.2703810274413341,Joe Allen,M
6967,0,-0.14556557685136795,0.03096368004094231,0.17928509215705996,0.1715020162509228,-0.3051802718108664,0.367107631892751,Riley McGree,M
7008,0,-0.13434022665023804,0.009024495545477445,0.05686941001491569,0.14821325396327298,-0.2814734822225376,0.2995224733134925,Brennan Johnson,M
7192,0,-0.30826614797115326,-0.07743965739103051,-0.5647753365142394,0.1382056652082634,-0.3483227611992268,0.1934434464171658,Antoine Semenyo,F
7419,0,-0.09865695983171463,0.012491053887629111,0.08578870679302958,0.14579956217470705,-0.2732760879747967,0.2982581957500549,Krystian Bielik,M
7441,0,-0.7680226676166058,-0.13615608600592088,-0.6651159394815522,0.2059447695446287,-0.5398078343133932,0.26749566230155136,Sardar Azmoun,F
7443,0,-0.15149589255452156,-0.02508960188145626,-0.1329073326669449,0.19447521783917024,-0.40626102884622994,0.3560818250833174,Christian Eriksen,M
7584,0,-0.24481591396033764,-0.17448404832892425,-1.050665260692491,0.16612759078455355,-0.5000941262666492,0.1511260296088007,Rodrigo Bentancur,M
7605,0,-0.037876106798648834,-0.058303825493827205,-0.5344613097528211,0.10927265053058184,-0.2724782205337676,0.1558705695461132,Olivier Ntcham,M
7649,0,-0.1836903654038906,-0.03394828902809269,-0.19082453139524677,0.1803560768386895,-0.38744619963192417,0.31954962157573874,Mohamed Drager,D
7955,0,-0.033721502870321274,-0.003263226329050139,-0.03765797772858505,0.0963687578273607,-0.19214599167067709,0.18561953901257683,Rubin Colwill,M
7966,0,-1.2541645020246506,-0.28435027791068274,-1.2654758896670555,0.22571515928538632,-0.7267519901100399,0.15805143428867446,Kieffer Moore,F
7988,1,0.17953599616885185,0.010111216970899362,0.038995239928681,0.24648529796826288,-0.4729999670468959,0.4932224009886946,Boulaye Dia,F
8008,3,1.6445657685399055,0.4850214534775764,2.0549765042964556,0.23490521735818495,0.024607227455533898,0.9454356794996189,Goncalo Ramos,F
8009,0,-0.2522173300385475,-0.15689449202129,-0.9445425819796915,0.16556660192528547,-0.4814050317948495,0.16761604775226954,Darwin Nunez,F
8011,0,-0.2836996018886566,-0.036546343655202825,-0.3652368785335134,0.0996301279255605,-0.2318213943893014,0.15872870707889578,Haris Seferovic,F
8023,0,-0.2310669869184494,-0.042222726496598646,-0.4153515153676912,0.10194029584227364,-0.24202570634745496,0.15758025335425768,Lisandro Martinez,D
8025,0,-0.546539094299078,-0.14145274859955828,-0.8171341643108663,0.17301973168069168,-0.480571422693714,0.1976659254945974,Nicolas Tagliafico,D
8026,1,0.5819301567971706,0.2577197735285969,1.2607200752819547,0.2034620111585476,-0.1410657683421564,0.6565053153993501,Daley Blind,D
