gametime,freekick,shooter_id,shooter_x,shooter_y,gk_id,gk_x,gk_y,shot_dist_goal,angle_to_goal,defender_infront,defender_around,goal,predictions_xgb
25.87,FALSE,20,33.737,10.563,13799,51.853,1.622,21.532002647222573,16.964563086790086,2,0,0,0.02127748355269432
27.5,FALSE,20,28.864,-1.186,13799,50.705,-0.816,23.665736667173494,17.562007092745567,1,0,0,0.046033430844545364
28.65,FALSE,20,38.69,3.968,13799,50.382,2.345,14.368755130490605,27.636575735003373,3,1,0,0.16642332077026367
40.58,FALSE,20,27.834,1.959,13799,49.67,0.116,24.743670645237742,16.778124690090113,2,1,0,0.047891829162836075
59.2,FALSE,20,36.923,-0.191,13799,47.188,0.166,15.578170945268253,26.441319214933692,2,3,0,0.10789578408002853
3.25,FALSE,21,34.521,-0.576,61,50.347,-0.388,17.988224398200064,22.990987116446686,1,3,0,0.04993537813425064
14.03,FALSE,21,-32.343,14.594,201,-49.86,1.092,24.885527621491168,13.686452439761526,1,0,0,0.04880325123667717
37.18,FALSE,21,-39.979,7.663,201,-49.496,1.798,14.679816415745806,24.394463758110433,2,2,0,0.11719726771116257
50.88,FALSE,21,-48.125,-7.378,201,-51.201,-0.38,8.577616743594925,28.019869498166795,1,0,1,0.13948339223861694
76.68,FALSE,21,-49.818,-0.726,201,-51.765,-4.671,2.7785247884444026,106.12382595080018,0,3,0,0.4592113196849823
93.42,FALSE,21,-44.543,8.964,201,-50.692,2.708,11.986123017890314,24.089723587013573,2,2,0,0.1149846538901329
50.6,FALSE,22,-35.468,-6.862,13854,-50.897,-1.247,18.362354642038692,21.059596704707154,1,0,0,0.12208598107099533
15.83,FALSE,22,31.323,11.353,13862,49.448,0.385,24.02823210309073,15.36931320746079,1,1,0,0.04219996556639671
34.83,FALSE,22,28.961,-2.08,13862,47.419,-1.35,23.63071985784606,17.544243474792456,2,2,0,0.05084173381328583
38.83,TRUE,22,47.536,30.33,13862,51.071,0.541,30.733535364484183,2.23472142596058,0,0,0,0.04556083679199219
85.03,FALSE,22,30.528,0.038,14031,48.394,0.266,21.97203285997907,18.914441434136688,1,3,0,0.18393613398075104
90.78,FALSE,22,36.757,-12.081,14031,51.001,-3.294,19.8442084750186,16.853837759987936,2,0,0,0.05094192922115326
45.28,FALSE,25,45.142,-2.426,13968,49.365,-1.576,7.74762157052085,49.115465222991396,1,4,1,0.35328516364097595
44.53,FALSE,26,-32.537,6.393,3841,-48.647,2.292,20.961674980783382,18.933467339193825,1,3,0,0.09079305827617645
45.18,FALSE,26,-34.014,4.612,3841,-50.037,0.8,19.052630789473664,21.15922502547629,2,2,0,0.08343540877103806
54.88,FALSE,26,-26.16,-0.943,3841,-51.03,0.018,26.356874795771976,15.801820044158795,3,2,0,0.0439470112323761
70.73,FALSE,27,-42.981,-4.175,1785,-51.578,-0.654,10.39432470148975,36.360661613740035,2,2,0,0.08374731987714767
88.07,FALSE,27,-39.619,15.88,13924,-49.788,3.656,20.447360734334396,13.115111119667855,1,1,0,0.06482713669538498
14.17,FALSE,30,-46.619,-3.848,13871,-52.116,1.425,7.028034220178498,50.09750844903654,2,3,0,0.16837134957313538
52.4,FALSE,30,-17.224,13.085,13871,-47.177,-2.584,37.62463821752974,10.43419678975689,1,0,0,0.05112273618578911
70.17,FALSE,37,38.074,-4.476,940,52.021,0.265,15.104438155720988,26.184743449726597,3,0,0,0.07640445232391357
26.63,FALSE,37,47.509,-2.147,2059,52.332,0.005,5.433202554663318,66.18605449252475,2,3,0,0.12908633053302765
52.63,FALSE,37,48.341,-2.083,2059,51.431,-0.358,4.651469660225679,74.8540811897956,1,4,0,0.3101660907268524
28,FALSE,37,45.54,-4.163,11241,-25,1.008,98.1283453901063,4.268234216856205,2,1,0,0.05800219625234604
15.87,FALSE,40,-48.447,-10.136,144,-50.94,-3.341,10.916286227467653,15.668586091373678,1,1,0,0.03703659027814865
61.77,FALSE,40,-41.004,0.081,144,-51.301,0.363,11.496285356583668,35.31850314307036,1,6,0,0.10051269084215164
94.85,FALSE,40,-13.812,-0.692,144,-50.167,-0.382,38.69418829746917,10.805128844272327,3,0,0,0.044593412429094315
51.9,FALSE,40,-46.096,-0.76,1785,-51.064,0.319,6.448939137563638,58.97620405478193,3,3,0,0.2983797490596771
51,FALSE,47,44.626,-7.231,61,50.911,-2.622,10.690520894699192,29.738594610638703,2,3,0,0.09526984393596649
37.98,FALSE,47,41.761,3.33,2059,48.676,3.279,11.243443467194556,34.82014137811062,1,2,1,0.22701531648635864
104.33,FALSE,55,42.363,2.196,13854,-26.428,-1.434,94.88841438763744,4.416613663990128,2,0,0,0.05406399816274643
29.63,TRUE,57,33.254,8.124,8538,51.303,0.369,20.8903779764752,18.419907517645907,2,3,0,0.05915846675634384
19.18,FALSE,57,-41.653,11.459,12653,-51.625,0.705,15.778659322008318,18.626608831449005,2,0,1,0.030265744775533676
29.85,FALSE,57,-40.028,8.101,12653,-45.714,4.738,14.872020205742057,23.719738869946767,1,2,0,0.12121733278036118
77.67,FALSE,67,-30.477,-0.334,13854,-52.397,2.999,22.025532570178637,18.867335538641978,4,0,0,0.05093677341938019
81.67,FALSE,67,43.337,0.91,13862,51.801,0.329,9.208076292038417,43.213049505402886,2,3,0,0.17867355048656464
67.2,FALSE,67,41.968,1.364,14031,51.823,0.236,10.61995856865741,37.80038397108046,1,0,0,0.1516571044921875
44.47,FALSE,71,-47.566,-1.49,940,-49.336,1.032,5.154071788401863,69.96724609867249,0,6,0,0.28186413645744324
63.88,FALSE,71,-43.186,-1.748,940,-50.226,-0.009,9.476608042965584,41.741443453666626,1,3,0,0.15576879680156708
82.97,FALSE,71,35.758,8.458,13969,48.622,1.809,18.757194033223627,19.90584554474976,3,0,0,0.13737334311008453
46.25,FALSE,83,-40.287,-12.202,32,-45.101,-6.909,17.264013814869358,17.435747740323038,1,1,0,0.0472772940993309
67.58,FALSE,83,-45.697,-0.095,32,-51.36,0.803,6.803663277970182,56.55309007283628,2,3,0,0.15562239289283752
67.6,FALSE,83,-45.758,-1.523,32,-51.703,0.46,6.911880568991334,55.13871200564742,2,2,0,0.23131102323532104
39.87,FALSE,83,29.44,-3.18,8538,49.687,-1.275,23.27823017327563,17.71373386628741,1,3,0,0.09378230571746826
55.55,FALSE,83,39.27,-13.245,8538,49.487,-2.522,18.720655036616638,16.030011269103355,1,1,0,0.043862663209438324
65.55,FALSE,83,33.294,-8.812,8538,50.545,-0.628,21.131061970473706,17.98285134845282,3,2,0,0.03159140795469284
69.82,FALSE,83,45.235,-11.966,8538,51.504,-2.666,13.998763552542774,16.240038011347142,1,1,0,0.07295257598161697
89.88,FALSE,83,28.368,1.676,13924,49.072,-0.492,24.19013021874831,17.168432081279917,1,1,0,0.04724695533514023
75.22,FALSE,83,44.747,10.168,14034,50.996,2.384,12.786603653824576,20.71111515373731,1,2,0,0.24512645602226257
90.12,FALSE,83,43.935,6.286,14034,51.456,2.289,10.624171544172277,32.22124472812139,2,5,0,0.14109472930431366
23.68,FALSE,84,37.028,-4.435,144,48.327,0.867,16.095092699329197,24.751131857945218,1,1,0,0.05887582153081894
77.35,FALSE,84,14.379,17.754,940,47.258,2.126,42.052528544666615,9.03432651410932,2,0,0,0.045265473425388336
29.62,FALSE,90,-24.995,-12.568,1341,-49.86,-0.85,30.240364564601396,12.59518249944984,2,1,0,0.042628075927495956
39,FALSE,90,-44.144,-1.933,1341,-51.631,-0.302,8.576667476357006,45.47330571498015,1,3,1,0.13626420497894287
61.72,FALSE,90,-22.623,-0.807,3841,-51.394,2.729,29.8878968480554,13.958195872383916,2,0,0,0.07679782807826996
15.98,FALSE,90,44.571,-5.84,13799,51.78,-0.789,9.847570309472282,34.77749805063035,2,1,0,0.09817357361316681
79.77,FALSE,90,34.092,-0.261,13799,51.247,0.571,18.409850216663905,22.486307564246562,7,1,0,0.032760247588157654
93.8,FALSE,90,21.094,2.505,13799,48.943,0.199,31.50574330181721,13.212135305665353,3,0,0,0.04615163430571556
67.23,FALSE,92,-32.665,6.136,61,-51.651,0.657,20.762411252068002,19.16817288115508,4,0,1,0.04473351314663887
17.15,FALSE,92,-48.754,12.027,435,-50.82,3.088,12.596874413917128,10.688086091929422,0,1,0,0.026523685082793236
69.23,FALSE,92,49.833,4.746,14013,51.534,-0.084,5.444024706042398,50.24104404868228,2,1,0,0.3063564896583557
49.22,FALSE,100,37.608,10.602,1672,50.129,2.13,18.280428550775284,18.76918861709915,1,3,0,0.06458709388971329
86.47,FALSE,100,43.518,9.958,1785,48.909,4.875,13.41037240347933,21.55504939986265,1,1,0,0.3171742856502533
48.2,FALSE,100,-34.205,4.42,13799,-50.965,1.576,18.82135555691991,21.449905685551258,3,3,0,0.0816180482506752
29.13,FALSE,105,46.778,-7.443,13969,50.893,-3.304,9.388265707786502,29.26541856879932,1,2,0,0.21078816056251526
87.93,FALSE,105,24.977,-5.346,61,48.536,-1.942,28.03739012461752,14.613552099023398,2,1,0,0.042285412549972534
10.12,FALSE,105,29.679,14.923,940,50.728,2.037,27.267085836223863,12.88768648119807,2,0,0,0.021258879452943802
45.43,FALSE,105,35.043,7.504,940,46.97,1.71,19.001496388442675,20.181243991675004,1,3,0,0.04807337000966072
32.08,FALSE,107,-39.845,-14.13,169,-50.543,-2.913,18.968550946237304,14.97132880920939,2,2,0,0.06779655814170837
42.17,FALSE,107,-43.924,2.81,169,-51.38,0.424,9.024626086437046,42.692349226722534,1,3,0,0.1388908177614212
2.17,FALSE,107,-40.281,-4.868,11241,-46.788,-2.388,13.152999087660579,29.266269787207538,1,1,0,0.10687799751758575
51.97,FALSE,107,-33.065,-12.462,11241,-49.434,-1.936,23.087240393775954,15.311372811849626,1,1,0,0.03447873145341873
78.07,FALSE,107,-34.046,-14.681,11241,-49.493,-1.639,23.581388360315003,13.977771675954672,3,0,0,0.05357751250267029
10.53,FALSE,107,-44.139,-3.747,13968,-51.46,-0.57,9.16222298353407,40.94152795441179,1,1,0,0.1852540820837021
37.82,FALSE,107,-47.516,-1.914,13968,-50.736,1.442,5.338881156197431,67.50489523483938,1,3,1,0.25366055965423584
4.78,FALSE,112,43.162,9.93,13862,47.314,5.283,13.630962695275782,21.626766176794373,1,2,0,0.29897457361221313
65.87,FALSE,112,40.617,-8.171,13862,49.312,-2.292,14.421197245721316,24.086701791799257,1,1,0,0.11611016094684601
0.77,FALSE,112,26.893,8.258,14031,49.349,0.573,26.905631622394594,14.778623968626132,2,1,0,0.0558125339448452
22.53,FALSE,112,44.167,-9.262,14031,50.861,-2.771,12.45887366498272,23.271642155885328,1,1,0,0.17146393656730652
32.52,FALSE,112,44.328,-10.406,14031,51.304,-2.661,13.231266757192977,20.304734496909578,1,2,0,0.06142302230000496
43.53,FALSE,112,34.461,4.469,14031,49.042,1.287,18.584334316837936,21.69014255410595,1,1,1,0.07203632593154907
66.63,FALSE,112,38.315,-3.079,14031,49.515,-1.077,14.515318322379295,27.756878587701728,2,1,0,0.1891699582338333
19.02,FALSE,113,-45.924,6.237,144,-51.086,1.595,9.063329686158394,34.99899929927018,3,4,0,0.09841597825288773
10.57,FALSE,113,-43.362,-1.031,169,-51.365,0.718,9.19597765330038,43.22424711188283,1,2,0,0.24178308248519897
74.87,FALSE,113,-45.518,6.28,169,-51.137,1.288,9.39077866845982,34.346604966331405,1,0,0,0.1669038087129593
76.37,FALSE,113,-43.715,2.112,169,-50.678,1.804,9.035306801653165,43.299544392354555,1,4,0,0.21629226207733154
77.15,FALSE,113,-45.671,-2.97,169,-51.607,-0.636,7.446888007751964,49.9224733901416,1,3,1,0.20205478370189667
14.87,FALSE,113,40.896,-0.854,200,51.5,-1.344,11.635382761215894,34.85014555361541,2,2,0,0.0727534368634224
36.55,FALSE,113,42.757,-4.226,200,50.838,-0.265,10.620034133655128,35.662018126402096,2,2,0,0.09970895946025848
28.97,FALSE,113,44.615,1.899,435,50.737,-0.152,8.110451652035167,47.77377555145119,1,5,0,0.1652008295059204
31.28,FALSE,113,43.375,0.562,435,49.227,4.697,9.142290139784452,43.581971229540734,0,1,1,0.2612358033657074
36.07,FALSE,113,38.872,2.06,435,49.703,-1.064,13.782814806852771,29.465142894073548,1,1,0,0.1640440821647644
49.45,FALSE,113,47.351,-4.967,435,51.762,-0.19,7.15424978596638,44.926359558242005,1,2,0,0.17316628992557526
70.83,FALSE,113,47.546,-2.176,435,51.575,1.689,5.410830989783363,66.34900016212049,1,3,1,0.30090418457984924
16.48,FALSE,113,39.793,12.483,1785,49.03,3.422,17.812724047713758,17.018005593361394,1,2,0,0.0702819749712944
35.23,FALSE,113,40.155,-1.335,1785,47.432,1.744,12.416974269120477,32.6949906475787,1,0,0,0.2107396423816681
28.18,FALSE,113,47.733,2.443,8042,49.823,-5.494,5.356541608164734,66.32843525388728,0,1,0,0.40863531827926636
35.52,FALSE,113,41.156,-5.331,8042,51.791,-0.835,12.534189124151592,30.020000611901228,2,2,0,0.056172098964452744
43.45,FALSE,113,40.22,8.454,8042,47.691,3.05,14.908672509650215,23.284890878385514,1,2,1,0.16620595753192902
65.13,FALSE,113,48.849,-6.676,8042,50.634,-2.449,7.609124588282151,30.985916228108188,2,1,0,0.19757863879203796
7.25,FALSE,118,29.224,2.85,13968,49.778,0.352,23.449833176378885,17.618704619715732,4,0,0,0.06680355221033096
31.77,FALSE,118,46.456,-0.954,13968,51.181,-1.077,6.118827665492792,61.47703805123255,1,5,0,0.20627973973751068
47.2,FALSE,118,48.842,7.323,61,51.283,1.984,8.185798250628952,26.54000649922655,1,3,0,0.15942758321762085
69.37,FALSE,118,42.608,4.129,61,51.629,0.238,10.719155983565127,35.50255797405569,1,3,0,0.09646479040384293
90.82,FALSE,118,43.243,2.797,940,52.043,0.553,9.670328743119335,40.22288772077217,1,4,0,0.09629864245653152
58.92,FALSE,123,32.28,13.425,13969,49.624,2.425,24.270950228616925,14.4186744485196,2,0,0,0.06034357100725174
20.12,TRUE,123,32.703,-12.276,61,51.503,0.596,23.29423501641554,15.31352131572882,2,0,0,0.11434057354927063
70.5,FALSE,123,41.746,14.914,61,51.361,2.512,18.386840729173677,13.628478462501185,1,2,0,0.02483201026916504
33.9,FALSE,127,-28.177,1.952,13907,-47.831,-0.495,24.401201466321286,17.009187888723133,2,1,0,0.04336412623524666
82.48,FALSE,132,30.569,-4.279,12653,47.192,-0.138,22.344543002710974,18.283467501632927,1,0,0,0.05737471953034401
1.57,FALSE,132,-41.149,-0.601,13871,-51.325,1.068,11.36689940133192,35.65782928219631,2,2,0,0.16356882452964783
21.13,FALSE,132,-41.359,-1.456,13871,-51.844,-0.7,11.235738382500722,35.8550254724186,2,4,0,0.05842410773038864
44.33,FALSE,133,-35.643,29.984,1785,-49.19,2.146,34.397655516037716,6.021410329514704,1,1,0,0.056569915264844894
63.05,FALSE,133,-35.761,-1.685,1785,-48.224,-0.791,16.823594919041525,24.438119794258203,2,3,0,0.07810698449611664
7.25,FALSE,133,-26.374,14.22,13924,-49.435,1.042,29.74518912362132,12.378475727492939,1,1,0,0.03768245875835419
28.55,FALSE,133,-33.731,-8.614,13924,-51.072,-3.531,20.65130400241108,18.396927997017734,2,0,0,0.05953994020819664
36.72,FALSE,133,-28.041,-6.96,13924,-49.909,-0.996,25.429987829332518,15.7863658641299,2,1,0,0.04336412623524666
97.3,FALSE,133,-48.919,9.389,13924,-51.762,3.304,10.04872539180965,16.662347006764566,1,0,0,0.0684095174074173
98.22,FALSE,133,-35.234,-5.778,13924,-49.422,-0.611,18.207142554503164,21.66858197975044,1,1,0,0.08243554085493088
83.05,FALSE,136,43.004,-10.431,13969,50.508,-1.805,14.106019176224029,20.53348259472066,2,3,0,0.14980675280094147
100.08,TRUE,136,32.214,5.852,61,51.969,-0.992,21.11321150370071,18.954479639178448,2,0,0,0.044384315609931946
9.17,FALSE,136,-38.298,0.021,201,-43.765,0.367,14.202015525973767,28.902459679912255,1,1,0,0.14283205568790436
22.97,FALSE,136,-32.703,-19.367,201,-50.061,-2.548,27.69479911463522,10.884775690866345,1,1,0,0.029601089656352997
38.63,FALSE,136,-40.977,-4.84,201,-50.355,-1.011,12.498205031123472,30.567601583923135,1,1,0,0.15158611536026
49.28,TRUE,136,-31.129,-10.322,201,-50.959,-0.264,23.733169299526768,15.880893829977722,2,0,1,0.03637520968914032
67.58,FALSE,136,-43.091,10.336,201,-50.531,2.918,13.977202044758457,20.73152502766226,2,3,1,0.044712044298648834
71.35,FALSE,136,-43.793,11.483,201,-49.778,3.825,14.410799353262817,18.1629156175218,1,2,0,0.14013954997062683
70.8,FALSE,136,43.858,-9.271,13969,47.696,-4.634,12.674210231805375,23.250046494453418,1,4,1,0.12331391870975494
86.68,FALSE,136,38.811,18.55,940,50.806,2.642,23.054093367556227,10.946271143603662,2,1,0,0.024972468614578247
90.38,FALSE,136,48.78,-4.574,2059,52.382,-1.935,5.895750673154351,51.88317548364351,1,3,0,0.2169492393732071
11.27,FALSE,157,24.942,11.987,8018,47.744,-0.289,30.052146895022325,12.774371265307206,2,1,0,0.0168229341506958
87.98,FALSE,157,30.621,-0.606,8018,49.613,-0.57,21.887390822114913,18.97952648008334,2,1,0,0.04674550145864487
80.18,FALSE,157,36.612,-3.697,8538,51.519,1.122,16.312460053590932,24.713248284854657,4,1,0,0.057048745453357697
0.3,FALSE,157,-30.627,-0.613,12653,-50.856,0.385,21.88158810507135,18.984307467749844,3,0,0,0.0821596309542656
0.38,FALSE,157,-37.875,1.707,12653,-50.073,-0.259,14.724281782144757,27.758032808636493,4,1,0,0.09619470685720444
21.18,FALSE,157,-32.165,-5.027,12653,-50.258,-1.962,20.94714667920192,19.28604152560917,2,1,0,0.057631202042102814
56.52,FALSE,157,-28.502,-2.719,12653,-50.779,-1.131,24.151541669218552,17.13129583948674,3,0,0,0.05022608861327171
88.6,FALSE,162,42.949,3.972,12653,50.683,-0.215,10.344002368522546,36.75660360896415,2,2,0,0.1526307761669159
13.57,FALSE,162,-45.722,-6.399,13871,-49.427,-2.899,9.321399304825428,34.02323955944191,1,1,0,0.16986005008220673
45.83,FALSE,162,-35.026,7.531,13871,-50.616,1.278,19.027785919544076,20.14605158362425,3,0,0,0.09549447149038315
55.42,FALSE,162,-36.789,-4.453,13871,-50.47,-2.281,16.329872320382666,24.42186263796837,2,0,0,0.08584308624267578
97.15,FALSE,162,-40.835,1.85,13871,-51.827,-2.128,11.810788500350007,34.103823841267506,2,0,0,0.048805121332407
59.52,FALSE,163,36.976,-7.302,61,50.061,-1.876,17.15557576999385,22.024081647460882,3,3,0,0.06197243183851242
71.05,FALSE,163,39.882,-5.347,61,50.849,0.986,13.704172101954939,27.90489779058504,2,0,0,0.12559381127357483
44.27,FALSE,163,44.911,1.662,940,51.739,3.673,7.7688586677838325,49.79102096343503,1,4,0,0.2850807011127472
53.63,FALSE,163,40.279,-12.268,2059,49.237,-3.554,17.316369856294937,17.34284256094243,2,1,0,0.10028357803821564
56.72,FALSE,163,43.831,3.886,2059,47.116,3.988,9.500134577994142,39.544843126393005,0,2,1,0.2812570333480835
61.35,FALSE,163,37.92,-11.755,13968,48.859,-2.052,18.72849233120488,17.55499924227938,1,2,1,0.08245089650154114
42.77,FALSE,163,38.63,1.761,13969,49.959,-1.792,13.98134546458244,29.143855610552464,5,2,1,0.1683742105960846
50.37,FALSE,195,49.075,9.786,12653,51.753,3.259,10.36804808052123,14.918596505828056,1,3,0,0.054046209901571274
71.05,FALSE,195,40.505,12.919,4691,50.465,3.297,17.628970077687466,16.449321104646174,2,2,0,0.07396016269922256
61.95,FALSE,195,46.912,-0.912,12653,49.636,3.348,5.66193323874452,65.47589333045102,0,2,1,0.5717991590499878
72.88,FALSE,195,40.841,1.05,12653,50.783,1.063,11.706185587115897,34.615985761889114,2,2,1,0.10767209529876709
81.88,FALSE,195,-42.146,0.731,13854,-51.636,-0.011,10.379772492689808,38.77664161434634,1,1,0,0.13245071470737457
28.18,FALSE,195,44.279,-2.826,13907,49.975,-1.573,8.69316495874776,44.06455138881816,1,1,1,0.18139521777629852
48.03,FALSE,195,42.974,-11.335,13907,47.878,-7.004,14.806312876607738,18.715050631561212,1,0,0,0.10632415115833282
12.88,FALSE,214,-34.578,5.292,11241,-50.193,0.463,18.686983384163423,21.33895221401637,2,3,0,0.042052898555994034
8.13,FALSE,214,29.254,1.411,13942,48.731,-0.767,23.288783501935,17.83204876785204,2,1,0,0.0748182013630867
68.78,FALSE,214,32.579,-12.65,13942,49.784,-3.703,23.598066467403637,15.019526312405407,1,0,0,0.06026545539498329
72.6,FALSE,233,-46.024,-2.579,1672,-51.411,-0.843,6.9706396406642614,53.40883331868206,2,3,1,0.2379050999879837
19.8,FALSE,240,-23.951,6.627,13924,-50.454,1.789,29.308062542583738,13.882249700100871,4,0,0,0.060402531176805496
5.75,FALSE,240,27.036,26.563,14034,47.973,0.834,36.79685129192442,7.915560061723058,0,0,0,0.1200881078839302
84.55,FALSE,241,32.788,-4.569,14031,51.506,-0.517,20.234591792274934,20.018385583500788,3,0,0,0.06355112791061401
82.98,TRUE,308,27.998,-12.525,169,51.515,0.881,27.517696651427787,13.556599853337605,4,0,0,0.019516360014677048
41.15,FALSE,308,40.053,13.957,13969,49.398,3.017,18.700953398155935,15.15766274949543,1,2,0,0.07093074917793274
37.58,FALSE,320,15.79,-5.835,8538,49.332,-2.362,37.170839713409755,11.110974346197905,2,1,0,0.04864823818206787
89,FALSE,371,45.545,0.467,13969,49.721,-7.477,6.970660944272069,55.34388241135428,1,1,1,0.5917332768440247
83.95,FALSE,395,-23.395,5.535,61,-50.592,0.763,29.62663075680392,13.846623607833898,2,1,0,0.035162702202796936
32.9,FALSE,395,31.168,19.68,14013,49.358,-0.634,29.023380643887783,10.66772544360429,1,1,0,0.04421314597129822
43.97,FALSE,401,-31.459,-2.661,61,-50.013,-1.3,21.208597360504537,19.439265864217283,3,0,0,0.07696383446455002
56.1,FALSE,401,-41.289,-17.526,1672,-50.676,-3.126,20.804980100927757,11.069926720497726,1,1,0,0.038168225437402725
34.77,FALSE,401,22.579,12.365,8538,50.095,0.97,32.37529097938735,11.951033193819722,1,0,0,0.0312783308327198
18.08,FALSE,401,31.367,-6.424,13854,50.307,-0.559,22.08781258975184,18.05754331647716,2,2,0,0.06299491226673126
50.38,FALSE,401,28.568,0.619,13854,51.363,0.657,23.94000386382592,17.378937724116046,3,2,0,0.04080124944448471
9.12,FALSE,401,-22.648,7.205,14031,-50.771,1.357,30.709183137947516,13.227292291166636,4,0,0,0.05816393718123436
21.98,FALSE,428,-48.517,0.533,169,-49.71,0.742,4.018504448174716,84.6062988708797,1,3,0,0.28459131717681885
83.62,FALSE,428,-44.48,-4.331,169,-51.277,-0.003,9.114711240626335,40.11366211075858,1,5,0,0.08579381555318832
8.78,FALSE,428,-32.339,4.97,11241,-49.106,-0.548,20.764556845740774,19.45586956190957,1,1,0,0.054711733013391495
24.55,FALSE,428,-37.206,-14.123,11241,-49.754,-2.564,20.817434159857452,14.926333604342364,1,1,0,0.04783441126346588
81.37,FALSE,428,-19.918,-7.462,11241,-51.018,0.222,33.42556159588048,12.191795326943717,3,1,0,0.0453026182949543
10.83,FALSE,428,33.524,0.272,13935,50.445,-0.085,18.977949309659355,21.82954066001658,4,3,0,0.0509650781750679
23.52,FALSE,428,38.713,14.401,13935,49.182,3.334,19.936653931891378,14.72243579169361,2,2,0,0.07326416671276093
3.78,FALSE,428,45.362,-16.803,13942,50.725,-4.52,18.256282562449563,9.276474739632743,1,1,0,0.07137937843799591
56.63,FALSE,428,45.228,11.69,13942,49.541,5.384,13.767283101614494,16.81504983997241,1,1,0,0.174826517701149
49.57,FALSE,444,-38.879,9.94,13907,-50.332,2.362,16.862243059569508,20.203602524308444,1,2,0,0.060419246554374695
73.22,FALSE,449,30.011,-3.634,14013,50.828,-0.217,22.780717218735674,18.036003588257607,4,0,0,0.08312153071165085
82.2,FALSE,453,40.562,9.551,13854,49.285,-0.525,15.288474253502212,21.632958842249916,0,1,0,0.18419551849365234
4.62,FALSE,453,28.013,11.419,61,50.001,0.562,27.018636716163158,14.043170643450157,1,1,0,0.031414784491062164
31.55,FALSE,453,33.14,16.406,61,50.213,1.479,25.376493768840483,12.666265054787157,1,3,0,0.02954285778105259
92.08,FALSE,453,37.091,26.86,61,-25.62,1.756,93.53078039340846,4.293786370693222,0,1,0,0.02768450230360031
45.85,FALSE,453,-39.991,5.921,8042,-50.727,2.493,13.839556423527455,27.203950325117503,1,2,1,0.1400696337223053
60.6,FALSE,453,-40.178,5.936,8042,-50.96,0.294,13.677272388893924,27.445210642758653,1,2,0,0.15569116175174713
47.37,FALSE,453,-49.201,-8.68,11241,-51.924,-2.476,9.285784888742576,18.344234799661514,1,3,0,0.11582490056753159
41.88,FALSE,453,47.212,9.538,13903,51.924,1.958,10.905796073648176,20.141026994630252,1,3,0,0.056627191603183746
96.12,FALSE,457,-30.03,6.869,201,-45.404,2.633,23.496469117720643,16.979260751229234,2,2,0,0.05885697156190872
97.65,FALSE,457,-26.931,-15.406,201,-49.193,-1.196,29.85160962159327,12.03742451335754,3,1,0,0.03986069932579994
55.05,FALSE,457,-39.889,7.988,169,-51.243,0.872,14.928009411840547,23.78491193240315,1,0,0,0.1649380475282669
1.98,FALSE,589,33.708,16.298,13969,50.347,1.683,24.8749687034979,12.801898863525352,2,1,0,0.054326366633176804
