shooter,number_of_shots,non_penalty_goals_scored,GAX,rGAX,tstat,sd.V1,ci_lower,ci_upper,shooter_name,shooter_position_type
2090,2,0,-0.3405819833278656,-0.14983268048437895,-1.0356474796899622,0.1449033051810471,-0.4338431586392313,0.13417779767047336,Hiroki Sakai,D
2094,2,0,-0.1939365193247795,0.009664875258251436,0.06891330883560234,0.135415737082113,-0.25574996942269,0.2750797199391929,Junya Ito,M
2095,6,0,-0.5217229910194874,-0.08456939687137817,-0.3869243002910586,0.21964989867919593,-0.5150831982826022,0.3459444045398459,Daichi Kamada,M
2099,9,1,-0.3530139811336994,0.04351829235953628,0.1752160094120645,0.23854121310231854,-0.42402248532100806,0.5110590700400807,Takuma Asano,F
2106,1,0,-0.05237828567624092,-0.0069235807199546535,-0.07197190975611685,0.10020655746291632,-0.20332843334727063,0.1894812719073613,Edson Alvarez,M
2108,3,1,0.6097801700234413,0.2501280651656588,1.3583191782742616,0.1843385619495832,-0.1111755162555243,0.6114316465868419,Uriel Antuna,RW
2111,7,1,0.44888082705438137,0.18720554964726613,0.7650754921152817,0.2435505594769069,-0.2901535469274714,0.6645646462220036,Hirving Lozano,F
2134,3,1,0.8211956545710564,0.2202888502790376,1.3441240977634599,0.16436043257491903,-0.10185759756780366,0.5424352981258789,Moises Caicedo,M
2144,1,0,-0.059956397861242294,0.013517095583270343,0.1362770188640373,0.10050052621454662,-0.18346393579724102,0.21049812696378173,Iliman Ndiaye,M
3299,1,0,-0.07791496068239212,-0.027445995865457297,-0.2596866630227888,0.10608422821955855,-0.23537108317579206,0.18047909144487748,César Montes,D
3301,2,0,-0.31001511961221695,-0.07342975009574204,-0.4809617558247537,0.15451211631080583,-0.37627349806492144,0.22941399787343736,Héctor Moreno,LCB
3303,1,0,-0.2674441635608673,-0.07644225434860563,-0.7011436268795614,0.10897333113617749,-0.2900299833755135,0.13714547467830224,Jesús Gallardo,LB
3314,1,0,-0.047455888241529465,0.006488106626984119,0.06824792064908067,0.0954070645578662,-0.18050973990643362,0.19348595316040187,Rogelio Funes Mori,CF
3315,1,0,-0.10029787570238113,-0.013252673314436903,-0.14626929824721713,0.09236413128747714,-0.19428637063789211,0.1677810240090183,Vincent Janssen,F
3316,1,0,-0.06042720377445221,0.009233886949884331,0.10374609779431526,0.08988402981901031,-0.16693881149537587,0.18540658539514454,Joel Campbell,F
3352,1,0,-0.047356016933918,-0.030905385755857898,-0.32379301829136575,0.09600925476120599,-0.21908352508782164,0.15727275357610582,Jorge Sánchez,D
3367,4,1,0.07875047624111176,0.19508287484315945,0.9247849788997828,0.21031232870135777,-0.21712928941150178,0.6072950390978207,Henry Martín,CF
3387,4,0,-0.7660031244158745,-0.2676698063076342,-1.397339465472542,0.19219016328075045,-0.6443625263379051,0.10902291372263667,Orbelín Pineda,F
3414,10,0,-0.7452585138380527,0.03087190498362304,0.10242731654888838,0.28549365897607476,-0.5286956666094835,0.5904394765767296,Alexis Vega,CF
3455,10,1,0.37807529233396053,0.17976637979843793,0.6460187614999414,0.2749111041985698,-0.3590593844307589,0.7185921440276347,Luis Chávez,M
3460,3,0,-0.1954527646303177,-0.03720737271352987,-0.2181087260988101,0.17183901747294195,-0.37401184696049605,0.2995971015334363,Romario Ibarra,LW
3519,3,0,-0.6376647129654884,-0.2701827027261274,-1.5327396372330624,0.17627557056850612,-0.6156828210403994,0.07531741558814464,Michael Estrada,F
3734,2,0,-0.47285979986190796,-0.10205064917611492,-0.64113339085826,0.15972057297986755,-0.4151029722166554,0.2110016738644255,Félix Torres,RCB
3848,1,0,-0.04873746261000633,-0.006196629341143875,-0.0665411517054133,0.10212403057670656,-0.20635972927148874,0.193966470589201,Abdou Diallo,D
3856,1,0,-0.04267135635018349,0.00963295051776266,0.09749173084488587,0.09944646038947301,-0.18528211184560442,0.20454801288112975,Leandro Paredes,M
3858,3,0,-0.41457919776439667,-0.09634680474930717,-0.5893922856269534,0.16415910081123036,-0.4180986423393187,0.22540503284070434,Idrissa Gueye,M
3865,10,0,-1.2559442184865475,-0.27257216278470636,-0.9452870932300885,0.2913210061511193,-0.8435613348409001,0.29841700927148745,Neymar,F
3867,1,0,-0.06119396537542343,-0.028110036070168806,-0.2533310940570593,0.11190103023063999,-0.24743605532222318,0.1912159831818856,Pablo Sarabia,F
3868,6,1,0.3558009844273329,0.12023362457986878,0.4730674470993226,0.25135976579030256,-0.3724315163691242,0.6128987655288618,Angel Di Maria,F
3870,30,6,2.25339993275702,0.5933613752154199,1.7900709189545927,0.32770853101296105,-0.04894734556998381,1.2356700960008236,Kylian Mbappé,F
3878,1,0,-0.17744988203048706,-0.0255607202475435,-0.2299483330916966,0.11042587411704015,-0.2419954335169422,0.1908739930218552,Axel Disasi,D
3880,2,1,0.7535817660391331,0.36551363310090706,2.2918684086425443,0.15949695419450263,0.05289960287968193,0.6781276633221323,Strahinja Pavlovic,D
3888,6,1,0.5562561545521021,0.2727745958358528,1.0879795041913278,0.2494268400697993,-0.2161020107009538,0.7616512023726594,Aurélien Tchouaméni,M
3890,4,0,-0.2201245203614235,-0.07138770382086168,-0.34415207010482785,0.2106016965190613,-0.48416702899822184,0.3413916213564985,Youssouf Fofana,M
3895,1,0,-0.056837085634469986,-0.010320672053413953,-0.10483119946642154,0.10002344317825579,-0.2063666206827953,0.1857252765759674,Ismail Jakobs,M
3903,2,0,-0.1172688640654087,-0.008297381705719312,-0.056953566108814996,0.14769530924410224,-0.29778018782415966,0.28118542441272104,Krepin Diatta,F
3924,5,0,-0.9523478411138058,-0.3637475668480725,-1.5965743852513528,0.22857409510896828,-0.8117527932616504,0.0842576595655053,Bruno Guimaraes,M
3930,4,1,0.6167740114033222,0.2943869969759385,1.523625148590636,0.1926521368653217,-0.08321119128009202,0.671985185231969,Lucas Paquetá,F
3934,2,0,-0.1961865872144699,-0.011992074117535903,-0.0860939264182986,0.13979553798329725,-0.2859913285647985,0.2620071803297267,Karl Toko Ekambi,F
3965,9,0,-1.1891210190951824,-0.24041006961640213,-0.9415333075378932,0.2560095859341801,-0.7421888580473951,0.2613687188145909,Jonathan David,F
3978,4,0,-0.16075871884822845,-0.02192738600592088,-0.1119027602736792,0.20952827988871922,-0.4326028145878105,0.3887480425759688,Pape Gueye,M
3989,2,0,-0.07234019227325916,-0.07104285896510457,-0.516403409649089,0.13863798078652217,-0.34277330130668804,0.20068758337647888,Nemanja Radonjic,F
3994,2,0,-0.10595174320042133,-0.038179851743512204,-0.24958030590495334,0.15245079942434978,-0.33698341861523773,0.26062371512821336,Arkadiusz Milik,F
